pcpn,height
0.0,6.57
0.0,5.87
0.0,5.0
0.0,3.81
0.0,2.67
0.0,5.85
0.0,4.25
0.0,5.19
0.0,5.8
0.0,5.05
0.0,6.34
0.0,4.76
0.0,5.29
0.0,3.81
0.0,4.5
0.0,4.52
0.0,3.96
0.0,4.07
0.0,4.49
0.0,5.9
0.0,4.14
0.0,4.4
0.0,4.0
0.0,5.01
0.0,6.31
0.0,4.57
0.0,5.1
0.0,4.08
0.0,4.04
0.0,4.82
0.0,4.86
0.0,7.73
0.0,5.74
0.0,3.84
0.0,6.69
0.0,6.13
0.0,4.75
0.0,4.15
0.0,4.86
0.0,4.81
0.0,4.56
0.0,5.7
0.0,5.43
0.0,5.92
0.0,4.67
0.0,4.46
0.0,5.16
0.0,5.7
0.0,6.64
0.0,4.37
0.0,4.88
0.0,3.19
0.0,6.45
0.0,5.72
0.0,5.16
0.0,4.13
0.0,4.77
0.0,5.74
0.0,4.15
0.0,5.11
0.0,3.97
0.0,5.07
0.0,5.67
0.0,4.36
0.0,7.55
0.0,3.19
0.0,5.2
0.0,3.84
0.0,5.22
0.0,4.51
0.0,5.71
0.0,4.04
0.0,6.25
0.0,6.35
0.0,5.21
0.0,4.41
0.0,4.15
0.0,4.38
0.0,5.18
0.0,4.97
0.0,4.46
0.0,3.71
0.0,4.8
0.0,3.52
0.0,5.0
0.0,6.29
0.0,5.52
0.0,6.3
0.0,4.71
0.0,3.9
13.78,11.68
19.48,27.76
13.78,37.6
0.0,35.68
0.0,33.52
0.0,31.32
0.0,27.95
0.0,26.46
0.0,25.47
0.0,21.67
0.0,19.88
0.0,18.3
0.0,17.26
0.0,16.06
0.0,15.05
0.0,13.17
0.0,13.95
0.0,13.44
0.0,13.62
0.0,10.55
0.0,9.6
0.0,11.14
0.0,9.52
0.0,10.11
0.0,10.4
0.0,7.77
0.0,8.24
0.0,7.25
0.0,8.76
0.0,7.74
0.0,7.07
0.0,7.42
0.0,5.03
0.0,7.32
0.0,5.84
0.0,5.27
